state,year,raw_values,pdf_page,y_position
Uttar Pradesh,2021,596|966|1562|16096|28200|12104|18264|17062|5250|6451,153,394.22
Uttar Pradesh,2022,591|920|1512|16121|28237|12116|18227|17041|5288|6474,153,402.98
Uttar Pradesh,2023,534|821|1355|16365|29783|13418|18237|17187|5854|6904,153,411.74
Uttar Pradesh,2024,441|719|1160|16684|32311|15627|18321|17403|5772|6690,153,420.5
Uttarakhand,2015,86|57|143|698|1083|384|1547|756|4445|5237,153,240.62
Uttarakhand,2016,88|62|150|691|1082|391|1546|752|4447|5240,153,249.38
Uttarakhand,2017,86|73|160|673|1060|386|1550|746|4455|5258,153,258.14
Uttarakhand,2018,89|88|177|648|1029|381|1548|736|4454|5266,153,266.9
Uttarakhand,2019,90|93|183|638|1024|386|1545|731|4456|5271,153,275.66
Uttarakhand,2020,100|92|191|621|997|376|1544|712|4457|5289,153,284.42
Uttarakhand,2021,108|97|205|594|969|376|1541|691|4460|5310,153,293.18
Uttarakhand,2022,152|64|216|568|932|364|1540|633|4461|5369,153,301.94
Uttarakhand,2023,160|47|207|551|907|356|1564|598|4438|5404,153,310.7
Uttarakhand,2024,165|43|208|527|851|323|1562|570|4441|5432,153,319.46
West Bengal,2015,11|328|339|5243|9881|4638|5648|5571|3036|3113,153,438.02
West Bengal,2016,10|313|322|5246|9618|4372|5633|5559|3052|3126,153,446.78
West Bengal,2017,7|308|315|5247|9945|4698|5625|5555|3060|3129,153,455.54
West Bengal,2018,6|301|307|5248|9960|4711|5615|5549|3069|3135,153,464.3
West Bengal,2019,5|300|305|5250|10100|4850|5608|5550|3076|3134,153,473.06
West Bengal,2020,6|259|265|5282|10207|4925|5602|5541|3082|3143,153,481.82
