type,page,state,year,values
numeric,154,,,2022|-23|19|19|22|52|30|52|22|112|143
numeric,154,,,2023|-24|19|19|28|47|19|59|28|112|143
numeric,154,,,2024|-25|19|0|19|28|47|19|58|28|93|123
numeric,154,,,2015|-16|20|114|134|754|1159|405|1077|868|2981|3189
numeric,154,,,2016|-17|22|101|124|757|1177|420|1078|858|2980|3199
numeric,154,,,2017|-18|26|105|131|752|1165|413|1081|857|3039|3263
numeric,154,,,2018|-19|36|121|157|713|1124|411|1091|835|3038|3295
numeric,154,,,2019|-20|37|97|135|720|1090|370|1071|817|2774|3028
numeric,154,,,2020|-21|38|82|120|736|1112|376|1074|818|2771|3028
numeric,154,,,2021|-22|37|88|125|733|1134|401|1075|821|2768|3023
numeric,154,,,2022|-23|37|98|136|733|1134|400|1094|832|2763|3026
numeric,154,,,2023|-24|40|95|134|738|1126|388|1095|833|2771|3033
numeric,154,,,2024|-25|41|102|143|729|1128|399|1097|831|1273|1539
numeric,154,,,2019|-20|1|1|2|20|22|1|28|21|264|271
numeric,154,,,2020|-21|1|1|2|20|22|1|28|21|265|272
numeric,154,,,2021|-22|1|1|2|20|22|1|28|21|264|271
numeric,154,,,2022|-23|1|2|3|22|23|1|32|24|263|271
numeric,154,,,2023|-24|1|2|3|22|23|1|32|24|263|271
numeric,154,,,2024|-25|1|2|3|22|23|1|32|24|39|47
numeric,154,,,2015|-16|2|2|0|2|2|1|1
numeric,154,,,2016|-17|2|2|0|2|2|1|1
numeric,154,,,2017|-18|2|2|0|2|2|1|1
numeric,154,,,2018|-19|3|3|0|3|3|0|0
numeric,154,,,2019|-20|2|2|0|2|2|3|3
numeric,154,,,2020|-21|2|2|0|2|2|3|3
numeric,154,,,2021|-22|2|2|0|2|2|3|3
numeric,154,,,2022|-23|2|2|0|2|2|3|3
numeric,154,,,2023|-24|2|2|0|2|2|3|3
numeric,154,,,2024|-25|0|0|2|2|0|2|2|1|1
numeric,154,,,2015|-16|3|5|8|15|26|11|29|20|20|28
numeric,154,,,2016|-17|3|5|8|15|26|11|29|20|20|29
numeric,154,,,2017|-18|3|4|8|15|26|11|29|19|20|29
numeric,154,,,2018|-19|3|4|7|15|27|11|28|19|20|29
numeric,154,,,2019|-20|3|4|7|15|27|12|28|19|20|29
numeric,154,,,2020|-21|3|4|7|15|27|11|28|19|20|29
numeric,154,,,2021|-22|3|4|6|16|28|12|28|20|21|29
numeric,154,,,2022|-23|3|3|6|16|30|13|28|19|21|29
numeric,155,,,1|12|13|14|15|16|17|18|19|20|21
numeric,155,,,2023|-24|3|3|5|16|30|14|28|19|21|30
numeric,155,,,2024|-25|3|4|7|15|26|12|27|18|21|30
numeric,155,,,2015|-16|11310|15711|27021|138974|198122|59148|181371|154685|126122|152809
numeric,155,,,2016|-17|11288|15298|26586|139000|201158|62159|180923|154298|127135|153760
